alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,class_0,class_1,class_2
13.62,4.95,2.35,20.0,92.0,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550.0,False,False,True
12.25,3.88,2.2,18.5,112.0,1.38,0.78,0.29,1.14,8.21,0.65,2.0,855.0,False,False,True
12.96,3.45,2.35,18.5,106.0,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675.0,False,False,True
13.78,2.76,2.3,22.0,90.0,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615.0,False,False,True
12.82,3.37,2.3,19.5,88.0,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685.0,False,False,True
13.58,2.58,2.69,24.5,105.0,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750.0,False,False,True
13.4,4.6,2.86,25.0,112.0,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630.0,False,False,True
14.16,2.51,2.48,20.0,91.0,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660.0,False,False,True
13.4,3.91,2.48,23.0,102.0,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750.0,False,False,True
13.17,2.59,2.37,20.0,120.0,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840.0,False,False,True
14.13,4.1,2.74,24.5,96.0,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560.0,False,False,True
14.025026180994086,2.2720154025799286,2.268699982468246,16.484594568494526,128.57525489305596,3.2368039546152563,3.493307032130157,0.21798399611158223,1.3910122255682853,3.96245014260783,1.2412508515164917,2.6002945665616535,1378.8043462269306,True,False,False
13.6553701736025,1.2900783127024518,2.0215321618476545,20.10196794622417,120.91855163614218,2.9506400281942,3.5179906640757723,0.18100836146092192,1.8556023199126166,2.848230447516172,1.279689887060214,3.4120256462940084,1156.2934384151115,True,False,False
13.039487415905512,1.6624098601434154,2.8586693972183994,15.213402515912229,127.99048880883743,2.833510850270369,2.5885341388422103,0.18553168322969937,2.482560130981856,2.9830109304700367,1.354062850347026,2.5799319833960355,1357.2090919676607,True,False,False
14.173856071553,2.2045625557046575,2.4777546899937577,19.7694728118226,124.65151859020342,2.84081153483418,2.998089995661025,0.17369625929355184,0.7370790732787937,5.481057506775457,1.210067142296778,3.1282522493375557,1386.7151728139158,True,False,False
14.219094132326635,4.194807379559905,2.7592535312219013,21.879451088011756,128.27598677532217,3.091824474229294,3.216141352995609,0.2553393993714156,1.7147737694785126,2.873975954395906,1.3234492461083183,2.706463057781585,1272.7018645523458,True,False,False
13.45360840571325,3.9009941287806607,2.778693532884862,20.374959031771986,120.86433703088338,3.1909505303574797,3.5297421372537583,0.21188128934793227,1.3220805428798212,4.353387535195733,1.3022859100911106,2.8717499379786635,1333.6883487761143,True,False,False
13.746413708017425,1.896512654545758,2.5046184463269334,18.638133112420977,127.68997266759402,3.205499296918063,3.470476993564642,0.2905689012016067,1.8662980267778853,3.08932874215307,1.329180268824624,3.0325032934031624,929.2439107143787,True,False,False
14.031054788581045,4.5575286692318,2.5614942317280827,14.596555724693582,128.16761293142855,2.7708647665202264,2.9822534671039884,0.17685481072038903,2.443982930630657,5.135084324996009,1.3284523493860778,2.59193187313637,1273.3238197381124,True,False,False
13.89776751699924,2.0923246105359596,2.6653690116895943,17.341574461164534,126.29089942101405,2.517389786148713,3.0266563160250888,0.2262880550711098,1.550043050964975,6.957314670435264,1.298717113625802,3.3453289492873908,1322.394548632386,True,False,False
14.094593887084663,1.3663163525962074,2.52317187706437,19.283236745113022,127.89432267678032,3.083113633442947,2.221167856586866,0.23816605937131408,2.159039310615924,4.167896577386186,1.2349013420249417,3.1914461849624107,1117.4372398344492,True,False,False
14.195137724386006,2.0789115609156967,2.699538516278665,24.36662209342898,126.81415140467948,2.9368826124700345,3.232722739929363,0.18536385108856904,2.4739210639631324,9.478201979808913,1.3015865100006998,3.4406800743081556,744.4604681367047,True,False,False
13.354471068692286,1.3264642341412838,2.0909175244742335,17.484637564994554,127.15155477883314,2.7139893016311967,3.280887087491009,0.25859529402226294,2.516011592953602,5.673483013096773,1.2886633097550113,3.0808777824457323,1344.012274487572,True,False,False
13.025473777343935,1.2885025196409623,2.4052873265220955,18.06087970400813,127.89964686929335,2.9831786478220796,2.252822045816762,0.22483753503634124,1.4715654211953022,4.628902610141974,1.282737534890937,3.4157029128315894,1349.03107878504,True,False,False
13.417860526645255,2.44878970772437,2.5946640415923237,21.11421640344842,123.21110182160142,3.2521197035035048,3.5378066649516065,0.2063609510541422,1.3342746613409737,5.378711982495131,1.1112446649019665,2.9792604764070205,1281.2798946565517,True,False,False
12.997294854980765,1.5883471783355314,2.74225108240562,23.694555537446995,118.79878145662514,2.9911771924313264,3.4789365707476767,0.23584045872523196,1.7299335764668142,3.4973365376810728,1.3591845920395116,3.309170740416776,1184.292168115517,True,False,False
13.94446075666179,3.4206591700903735,2.8198365658567432,24.690001500808627,113.5120946921333,2.5714651907443966,3.254512414169885,0.1768123233839473,1.4709471528020832,4.1240181584962405,1.3317022489618524,3.591401563846769,1375.7751102958646,True,False,False
12.096381854288893,1.9681673894465854,2.7891147552788897,17.41094136660179,121.60503519775526,3.030389418851671,3.42140071043646,0.28553888276456124,2.3406971188608963,2.4785422853103447,1.2585411877031651,3.631920499778247,1287.8592852519564,True,False,False
13.957253064230052,3.269374075836537,2.855657925589575,20.513585706002896,126.77152316873526,2.9850460042652958,3.3831095155808315,0.2600366182197199,2.3729412585885648,2.9327542228208614,1.2653983083472238,2.724065216602055,1110.4588681460593,True,False,False
14.088287728598607,2.3830988131030706,2.6757173217476864,15.401401470626457,104.23966649295393,3.2333127533656154,3.310293030354848,0.2017473571442237,2.3664322808664657,6.289843636084983,1.2278136058303282,3.1398480617381175,1257.934445902098,True,False,False
13.791883032431823,2.074723626629942,2.113994205637413,21.139924475226735,125.18909028586631,2.733349595561725,3.4379631096003287,0.18497958009225912,1.692427620386309,4.462055683289506,1.248018761871795,3.2692118444962897,1083.5678146619293,True,False,False
14.154237792945075,1.3187734604625772,1.9405571861683013,15.692784404468421,126.54631997225692,3.08681284455081,1.4849922840126175,0.20530945098758452,2.416894053364972,8.002910208324003,1.2794872144614426,3.560336913857886,1073.2674094038093,True,False,False
14.03966080787525,2.2250364831104354,2.300804426234262,19.699360519156503,121.6579336355438,2.9762039287581077,2.4706762633895387,0.20472289745751202,0.9124980745283882,6.8353459522936895,1.1944071040737185,3.5507060063293885,1376.5609901843977,True,False,False
14.087451116322226,3.8387224729925613,2.849282760697861,14.943478713243348,124.33443603375957,2.850080479492242,3.515783616934791,0.2652184900130398,1.0118622721585528,7.641861317268228,1.0307189471038916,3.595292194666077,1348.2577049045992,True,False,False
13.634697591115454,1.547690383433025,2.5517811930187873,21.31438418017794,126.27661553174643,2.8813308694055886,2.8229137634883115,0.22866337438129009,1.2159227969635058,9.333665467393454,1.3340677012343285,3.3534131137815963,1159.4824361090923,True,False,False
13.230134727296727,1.6554882748195552,2.54261428913675,20.36471365209785,128.25607972616055,2.92973774777964,2.161930770589964,0.2071203327595025,1.6784085566983964,2.46230861943091,1.2758894422660596,3.491477832630758,1142.5514450562882,True,False,False
13.325655245919226,2.6572321788691315,2.7191711940755763,21.68377663834984,116.24779294762558,3.080788083660467,3.529902567368559,0.2354190550239338,0.8809371414732503,5.492038455005895,1.1656365024830366,3.525260837150522,1348.3218103479865,True,False,False
13.978232930119347,3.402802451075229,1.971149222649727,24.73977521666098,125.15373356385876,3.042791878722986,3.1401839528645166,0.2459437294527725,1.5805370949259565,5.624433394819374,1.2800330793194643,3.429172139189063,1284.2999075373746,True,False,False
13.90799232032219,1.6221007851724742,2.6029404227062933,21.975228765267552,128.6387185125997,3.1732084258271502,2.1072139861458394,0.33562052076623244,1.6216138081651212,3.128901156803561,1.2832376547554216,3.3817315943776816,1233.068148479846,True,False,False
13.82806734656529,1.6601459546409065,2.496132317874618,20.64460416396224,124.59086626889334,2.7264593675732067,3.4226827879483315,0.2942547342844659,1.5035729284694082,2.7855624492920814,1.2743115941910848,3.2864385824102245,1167.0960956269491,True,False,False
12.30754712084284,1.7579843815991083,2.6869602407770534,19.5848792510972,120.49158891082448,3.1882059533479916,3.3686987376678896,0.1927812237515621,2.270834225774785,6.574481774347091,1.2808100834173022,2.3657238586281717,1356.5547561705293,True,False,False
13.732600196848633,1.5663571636927134,2.2910898764267187,18.061617130121686,122.59305385852265,2.907348047763781,2.5577695368748614,0.18793261098398673,1.2841891961967558,6.463988578542405,1.2316376721324351,3.48140016701306,1147.5224837452974,True,False,False
14.11031933693084,1.7412790672138059,2.466364465509705,17.941132223781462,121.10892682192193,2.8368609164123613,2.5621269024016406,0.17679146993084774,2.208839849915615,5.856333851149467,1.29222594706069,2.9939972030978232,1065.7087062081418,True,False,False
12.403219182656025,1.7711831517757257,2.1051504218808303,18.888588018760416,128.98847729816544,3.0731924803120467,3.4669306960909925,0.3728881197761965,2.5243395888675937,3.7593325165493887,1.2006345505624942,3.5793579598579166,1360.6469582559644,True,False,False
14.100395358737856,1.8062847641008104,2.589288952729846,14.943846646788343,128.50913759428994,3.121540809654549,2.3566336628903444,0.1727714763099111,1.749347678870103,5.74087572784353,1.0302943226719874,2.994917765441115,972.8225082703686,True,False,False
13.487608505869593,2.5035924051479586,2.5892430652150042,15.103797933553032,117.55313438676865,2.723755346272907,3.2096941607334566,0.20723296597117685,1.9417297605703405,3.631576708263555,1.357363208682853,3.373541881455825,1028.2659352640776,True,False,False
14.159923985844097,1.9912326608056417,2.4742730347684128,16.889086710354505,125.85176996631444,2.816620224105062,2.163396680244722,0.2863891564080375,1.9581550713750753,5.553772976042252,1.3503183815014395,3.4301548739888976,1170.6270909191799,True,False,False
12.8820512471598,3.056251233966956,2.661312155322223,19.58791273537821,126.87246913322012,3.1950962131893825,2.114438764765648,0.18836419178983732,1.6980106834508055,4.6194031280575665,1.3386738172036092,3.576442627443531,915.374999420676,True,False,False
13.052345034964302,4.28400275795385,2.777451477985466,25.133118460475877,128.2858449285313,3.0632960699189864,2.012322325834639,0.1798897953543678,1.2912060884006524,5.59980834395301,1.3159440278938694,3.350230936039559,1292.9941909943273,True,False,False
13.618781467472862,2.6894501970576776,2.7486975300249394,23.982846987994865,118.58657522195305,3.1958936855437763,2.246395806087435,0.20965439797155877,2.1325346710849784,9.777309866728947,1.308598072227909,3.129016214418024,1291.658136393067,True,False,False
12.34185892570971,1.5465861465495083,2.6510761963980345,20.621402005280732,114.06735391451808,3.254665250007894,3.4423489012798916,0.27807229811683176,1.9678454336722857,4.242358277771522,1.2098202821902642,3.5522639768811493,1313.63658946052,True,False,False
13.78816419973035,1.6888114444975335,2.2100927503095424,20.91131448896764,128.86529874792325,3.0818027827709855,3.3532337080780232,0.21784093469817142,1.794705600886251,4.84977201903056,1.0413399603138038,3.470135710181812,842.8917176891804,True,False,False
12.542928284333588,1.3696923622489412,2.662227798709985,15.555851952424652,117.94984580717718,2.494930986391763,3.3454642219919926,0.20885482552616036,2.2813827396470328,7.656824298381888,1.3117928550744193,3.6472158368422005,1230.1631285571536,True,False,False
14.237707232712957,3.029701645478131,2.878569089001502,19.898957683660104,118.61654471682766,3.237245635804007,2.5859129020867773,0.3349946137441311,1.8581840190502312,7.857978065458152,1.2165166985979226,3.620952177660427,1297.1076392909954,True,False,False
13.20517444421166,1.5197910862361346,2.7960967533378773,19.284020067753776,121.26195953531175,3.0671213356717435,2.737681036418307,0.24467060326446308,1.3377211744387232,4.188516325547586,1.0469128025411432,3.4361320486221887,1337.9215373419825,True,False,False
14.05318961218765,4.098757621201837,2.7594483097825453,22.385119966704853,125.44427980402611,3.204847581723273,1.7694564725432391,0.21698953926460302,2.518556162722794,5.32758493161599,1.2657123980877203,2.8447760044318926,1301.7300402409462,True,False,False
13.908140841245531,1.6771735029432067,2.732711191732728,21.073818710728855,127.09066893684215,3.073400193801892,3.541850291802503,0.3519028228946567,1.804756948996792,9.405804013926915,1.2308951588971235,3.464161221583091,1008.7434228972918,True,False,False
13.456173120317194,3.056197544021607,2.6835232370054047,15.029644812651984,118.626554941846,3.2464687250660926,2.7122676898986393,0.20106688037152048,1.3224613937647078,5.457874270421668,1.1619247367902386,3.0031354344897148,1276.2102547636455,True,False,False
13.335612589605741,1.6368686275290183,2.5027502551117204,20.648669969635666,119.46602181889693,3.1818548258555346,1.0517970365039,0.18160836054887422,2.1298534662759074,4.205648160137819,1.3275484364162922,3.5193395917513746,1275.8942983416791,True,False,False
12.130941752040377,2.622939315262097,2.5511014031268453,23.177170092828664,125.47315582773884,3.2197986757256394,3.324791958894979,0.2781363197467358,2.383074221062562,4.33562106777325,1.2978165029675384,3.2786606379220604,1173.9048161921226,True,False,False
13.407059379389526,2.1484194075865712,2.7163491781336555,17.395241723295122,120.12309744626205,2.859157237450988,3.280724238638059,0.32932867006883404,1.876958723093538,5.242165543769399,1.171524975605899,3.6080952910296418,1376.5746646369885,True,False,False
14.099141613185331,3.37720043126608,2.3428439425079226,19.177195056906008,125.15093177448446,2.918414600220009,3.481036201203561,0.3305356340124977,1.8523703956566364,8.77294912460167,1.3598856609047543,3.323975212199527,1169.567047921681,True,False,False
14.230940830058612,3.7705946241418653,2.845039803550935,22.445029428596712,120.46265823457324,3.1923715792657825,2.113014095042126,0.23086465093561212,0.9562448937199259,5.1035378530399695,1.2866507853910698,3.4865176186443714,1127.3582446201299,True,False,False
14.077371531693016,1.5349940187180733,2.424945498988627,23.094053251041082,124.37108416589358,3.1792417046453294,2.8836307871039786,0.2866847927914239,2.025166468913127,4.941976211072367,1.3278911177658719,2.604884476783484,1092.6334395521026,True,False,False
12.015147943383518,1.2919041556838045,2.8107534105392182,15.320456909043315,114.49777372199053,3.0476735475072583,3.0563710633904257,0.2209913704469769,2.471070133776661,3.8730145250715404,1.2726108524462696,3.486069266641592,1134.4674780869482,True,False,False
14.192126844310309,1.9575001940164725,2.714892055142605,23.552918764786515,121.11814567863739,2.261651185679983,3.110802782143483,0.20788011617447788,2.2070629772350987,6.759077497675318,1.2558040770473142,3.3913077826915674,1200.0626686378907,True,False,False
13.74123142251765,1.8068377243874156,2.5055514156675827,25.11560343325789,125.92067190413334,3.088125550811408,1.7350048812618508,0.202066349194423,2.2914910766696304,3.0072013960832034,1.2258556729735453,3.130243915909758,1153.0617942712643,True,False,False
12.142024031266757,1.3039690687978176,2.8004259188325324,23.025320921688753,109.07804617806661,3.0772079781505948,3.520757271317229,0.19209856880367293,2.5131899678992733,5.40573542662843,1.354586874532383,3.4593860104083163,1035.7103664183323,True,False,False
13.48088945700712,2.5526623133752064,2.8696796659057227,15.207847610930147,116.62536377423228,3.147768787396278,3.2798373974464585,0.20839139704004186,1.025224648441756,8.544920181662999,1.271625591880034,2.5193889258532796,1264.2527346037377,True,False,False
13.650001184369373,1.6138172344150807,2.6563674550939176,17.335978074829015,128.82238616689133,2.9738329225446094,1.4148101275874962,0.21702015068961641,2.446757275823089,4.820800915051806,1.3272583217167986,2.5428328026803904,1250.6998785915093,True,False,False
14.225495926684056,1.532915479171654,2.6257473114467214,17.014789993503168,126.46349246125803,3.050174353400858,2.120915858465973,0.2790943250487573,2.0656966377540873,5.125166875807661,1.0827691352716289,3.241816502367455,1170.7374012022926,True,False,False
13.77934784292106,3.0375689355679567,2.594722115337433,19.399102895064015,128.60076575791194,3.150758379662818,2.4502759347933143,0.24786540784115796,1.2180145541821263,4.725157812935144,1.3579644279835144,3.466945516852525,779.0008453198363,True,False,False
13.614240657675573,1.8106522891958785,2.8513108611659983,15.145529730452857,125.2479379777972,2.743953396598296,3.229464952050856,0.31525246291655995,0.9043132855153174,9.141226689265649,1.2579649688946908,3.317717516095424,1264.0947781282766,True,False,False
12.626063571756788,1.3484180074514327,2.399673533093583,16.83985853465655,127.84629901728209,3.009158953887225,3.502785295039506,0.2600624365032966,2.4635057146231807,4.639841486340483,1.087948974975309,2.53227870715401,1343.6700495897692,True,False,False
14.035726297564143,2.08635812260523,2.867881545230185,24.273309331050832,126.89623860404791,2.6426500802840263,3.4307147758456598,0.26526992762175616,2.236240807598305,7.313241576532149,1.0677651861066468,3.3879422013774154,1133.5843889705611,True,False,False
13.135892521160653,1.8215293402610868,2.1630272691036607,20.13203977540242,126.16856140154287,2.69477167375409,2.995208242127239,0.17146626153832453,0.9923505572911016,2.4652561994885156,1.2354262079217333,3.1526749208399654,1277.5280861102146,True,False,False
14.232556140845892,1.4726923630746072,2.520885527089188,16.71686808317535,119.20580413554453,2.9258604469532665,1.4775567835937045,0.17162374047333379,1.2820612657010448,7.944977195924742,1.1224791995003378,3.625781068138754,1266.9597738566022,True,False,False
14.17237259690141,1.4963664240270087,2.402097686460908,24.04272109556542,115.52730211501145,3.148029467306351,2.694951378301038,0.18800163535726636,1.7364893659426475,2.4683385397617488,1.1875031363952149,2.5569658971608327,1249.7704941847883,True,False,False
13.163256623171296,1.9518022062134657,2.5961875101740297,20.270463449606027,122.72094147712265,2.8873689914585983,3.0724293611293483,0.21092495053531213,1.9668635610219716,4.908537634944461,0.9461956434590761,3.5580490015246884,1304.3207869459084,True,False,False
13.876972096169528,2.628179967571173,2.0935263854751165,20.274292785446292,120.24748572220489,2.416514845179121,3.5334017874761985,0.3264298137115429,2.3445246200948735,5.313613779583373,1.3405157798791247,3.623337176321565,1375.9047866524534,True,False,False
13.412410702532386,1.4951030109278094,2.3974780531486815,17.955891580753878,128.35379210044823,3.017357662558666,2.5555599170475336,0.25485717275668207,1.9817553029322523,8.641635162966143,1.3298743719307529,3.4566221427961,915.0256942845368,True,False,False
13.008499175603578,1.8891159620808773,2.6903790527264695,16.400714938918117,124.5036032535944,3.216305483027951,3.4152084702710823,0.3596628146818431,1.0822524294663554,6.299029795720957,1.3589146906822356,3.2514258912019707,1072.5607471363664,True,False,False
14.041817943707937,3.213455232113195,2.6660674095058203,15.4610957504485,125.69365430500402,2.9618236582447652,3.1814693806718246,0.21212932214480046,2.129046319970249,4.133489960315208,1.1429022073102622,2.3903044070313917,1098.9547729112053,True,False,False
14.026802186297349,2.135001269191617,2.5188529925511336,24.833491058417728,123.87676015238878,2.7936555765493587,1.8400013585524853,0.18614715850178812,1.7719835896906893,8.202149275858305,1.3002596538352635,2.9852224390769067,1350.8620821129643,True,False,False
14.190919224230463,1.3839142465317646,1.9672836041057242,24.12423523363139,118.56460342630707,2.7821126223863164,2.5915958453127845,0.174919288323019,1.9431881316795483,4.793392904059761,1.3290696026998772,2.7473259073760437,1283.201205594564,True,False,False
13.471393709875032,3.728173955509936,2.844278250477879,14.57853418600281,121.73079965415474,3.1624527262589694,2.3605750163941237,0.2335683403869412,1.8936898614727355,4.655549036060128,1.1888680477987559,3.1393849239209946,1219.0679864140266,True,False,False
13.261880541911976,1.3220909479326775,2.4126929849652736,24.581049636496793,123.71317989518451,2.848902545269868,3.3410262516372065,0.18202681812703586,1.1450785422760532,8.827290581313566,1.207850200116002,3.615666173975793,940.5482353550688,True,False,False
14.116307398893527,1.3092843038098745,1.920657274322655,22.295093346391752,123.20274742071192,2.70511342396533,2.688145901594539,0.27552016927252543,2.517508579412606,4.89906753752693,1.3079502292220753,3.5548644635751225,1144.7427486136282,True,False,False
14.016350662420205,3.7450133708257267,2.738260516192459,14.645700487324032,128.7721034329627,3.0766751307825384,3.4706291785656704,0.19285372672161608,1.5353490059145147,7.7618462478771795,0.8337453746940376,3.477875354304528,875.450600313858,True,False,False
13.048488896349737,2.345425315438492,2.8181105866535545,15.130690166835436,114.86830020578628,2.720352478814145,2.9460425958257375,0.1733112902896321,2.1674568473709512,3.025815891323087,1.3126320643751046,2.6470253405345523,1306.6074620871018,True,False,False
14.142183030759764,2.9691330940752607,2.688743007021767,15.574803483089633,107.2054012058248,2.7936563805252073,2.968653594100613,0.24739370396847674,0.7684244248145223,3.0162698187471344,1.3355126759558449,3.568749899923121,1303.2740484423075,True,False,False
